complexFloatCase	-128	-31357
complexFloatCase	-31	-1578
complexFloatCase	-7	-18
complexFloatCase	-1	12
complexFloatCase	0	3
complexFloatCase	1	-10
complexFloatCase	7	-172
complexFloatCase	31	-2260
complexFloatCase	128	-34173
complexDoubleCase	-128	-31357
complexDoubleCase	-31	-1578
complexDoubleCase	-7	-18
complexDoubleCase	-1	12
complexDoubleCase	0	3
complexDoubleCase	1	-10
complexDoubleCase	7	-172
complexDoubleCase	31	-2260
complexDoubleCase	128	-34173
mixedCase	-128	-2583
mixedCase	-31	-643
mixedCase	-7	-163
mixedCase	-1	-43
mixedCase	0	-23
mixedCase	1	-3
mixedCase	7	117
mixedCase	31	597
mixedCase	128	2537
joinedCase	-128	-1554
joinedCase	-31	-390
joinedCase	-7	-102
joinedCase	-1	-30
joinedCase	0	-18
joinedCase	1	42
joinedCase	7	114
joinedCase	31	402
joinedCase	128	1566
ieeeCase	0	12
ieeeCase	1	0
ieeeCase	2	20
ieeeCase	3	40
ieeeCase	4	0
ieeeCase	5	0
ieeeCase	6	3
ieeeCase	7	12
