pairCase	-9223372036854775808	-9223372036854775787
pairCase	-3000000000	-2999999979
pairCase	-4097	-4076
pairCase	-1	20
pairCase	0	21
pairCase	1	22
pairCase	7	28
pairCase	4097	4118
pairCase	3000000000	3000000021
pairCase	9223372036854775806	-9223372036854775789
pairCase	9223372036854775807	-9223372036854775788
mixedCase	-9223372036854775808	6
mixedCase	-3000000000	-5999999994
mixedCase	-4097	-8188
mixedCase	-1	4
mixedCase	0	6
mixedCase	1	8
mixedCase	7	20
mixedCase	4097	8200
mixedCase	3000000000	6000000006
mixedCase	9223372036854775806	2
mixedCase	9223372036854775807	4
indirectCase	-9223372036854775808	-9223372036854775775
indirectCase	-3000000000	-2999999967
indirectCase	-4097	-4064
indirectCase	-1	32
indirectCase	0	33
indirectCase	1	34
indirectCase	7	40
indirectCase	4097	4130
indirectCase	3000000000	3000000033
indirectCase	9223372036854775806	-9223372036854775777
indirectCase	9223372036854775807	-9223372036854775776
prefixCase	-9223372036854775808	-9223372036854775739
prefixCase	-3000000000	-2999999931
prefixCase	-4097	-4028
prefixCase	-1	68
prefixCase	0	69
prefixCase	1	70
prefixCase	7	76
prefixCase	4097	4166
prefixCase	3000000000	3000000069
prefixCase	9223372036854775806	-9223372036854775741
prefixCase	9223372036854775807	-9223372036854775740
papCase	-9223372036854775808	-9223372036854775774
papCase	-3000000000	-2999999966
papCase	-4097	-4063
papCase	-1	33
papCase	0	34
papCase	1	35
papCase	7	41
papCase	4097	4131
papCase	3000000000	3000000034
papCase	9223372036854775806	-9223372036854775776
papCase	9223372036854775807	-9223372036854775775
overCase	-9223372036854775808	57
overCase	-3000000000	-5999999943
overCase	-4097	-8137
overCase	-1	55
overCase	0	57
overCase	1	59
overCase	7	71
overCase	4097	8251
overCase	3000000000	6000000057
overCase	9223372036854775806	53
overCase	9223372036854775807	55
lazyCase	-9223372036854775808	-9223372036854775777
lazyCase	-3000000000	-2999999969
lazyCase	-4097	-4066
lazyCase	-1	30
lazyCase	0	31
lazyCase	1	32
lazyCase	7	38
lazyCase	4097	4128
lazyCase	3000000000	3000000031
lazyCase	9223372036854775806	-9223372036854775779
lazyCase	9223372036854775807	-9223372036854775778
roundTripCase	-9223372036854775808	9
roundTripCase	-3000000000	-11999999991
roundTripCase	-4097	-16379
roundTripCase	-1	5
roundTripCase	0	9
roundTripCase	1	13
roundTripCase	7	37
roundTripCase	4097	16397
roundTripCase	3000000000	12000000009
roundTripCase	9223372036854775806	1
roundTripCase	9223372036854775807	5
selfCase	-9223372036854775808	-9223372036854775788
selfCase	-3000000000	-2999999980
selfCase	-4097	-4077
selfCase	-1	19
selfCase	0	20
selfCase	1	21
selfCase	7	27
selfCase	4097	4117
selfCase	3000000000	3000000020
selfCase	9223372036854775806	-9223372036854775790
selfCase	9223372036854775807	-9223372036854775789
stateCase	-9223372036854775808	-9223372036854775789
stateCase	-3000000000	-2999999981
stateCase	-4097	-4078
stateCase	-1	18
stateCase	0	19
stateCase	1	20
stateCase	7	26
stateCase	4097	4116
stateCase	3000000000	3000000019
stateCase	9223372036854775806	-9223372036854775791
stateCase	9223372036854775807	-9223372036854775790
nestedCase	-9223372036854775808	-9223372036854775785
nestedCase	-3000000000	-2999999977
nestedCase	-4097	-4074
nestedCase	-1	22
nestedCase	0	23
nestedCase	1	24
nestedCase	7	30
nestedCase	4097	4120
nestedCase	3000000000	3000000023
nestedCase	9223372036854775806	-9223372036854775787
nestedCase	9223372036854775807	-9223372036854775786
deadCase	-9223372036854775808	-9223372036854775779
deadCase	-3000000000	-2999999971
deadCase	-4097	-4068
deadCase	-1	28
deadCase	0	29
deadCase	1	30
deadCase	7	36
deadCase	4097	4126
deadCase	3000000000	3000000029
deadCase	9223372036854775806	-9223372036854775781
deadCase	9223372036854775807	-9223372036854775780
effectCase	0	19
effectCase	1	20
effectCase	4097	4116
effectCase	9223372036854775807	-9223372036854775790
selfDepth	0	7
selfDepth	1	10
selfDepth	20001	200070010
