sumLoop	-3	0
sumLoop	0	0
sumLoop	1	1
sumLoop	2	3
sumLoop	7	28
sumLoop	10	55
sumLoop	20	210
fib	-3	-3
fib	0	0
fib	1	1
fib	2	1
fib	7	13
fib	10	55
fib	20	6765
captured	-3	4
captured	0	7
captured	1	8
captured	2	9
captured	7	14
captured	10	17
captured	20	27
exact	-3	4
exact	0	7
exact	1	8
exact	2	9
exact	7	14
exact	10	17
exact	20	27
under	-3	4
under	0	7
under	1	8
under	2	9
under	7	14
under	10	17
under	20	27
over	-3	13
over	0	13
over	1	42
over	2	42
over	7	42
over	10	42
over	20	42
unknown	-3	13
unknown	0	13
unknown	1	42
unknown	2	42
unknown	7	42
unknown	10	42
unknown	20	42
shared	-3	40
shared	0	22
shared	1	24
shared	2	30
shared	7	120
shared	10	222
shared	20	822
lazyArgument	-3	-3
lazyArgument	0	0
lazyArgument	1	1
lazyArgument	2	2
lazyArgument	7	7
lazyArgument	10	10
lazyArgument	20	20
lazyField	-3	-3
lazyField	0	0
lazyField	1	1
lazyField	2	2
lazyField	7	7
lazyField	10	10
lazyField	20	20
recursiveCaf	-3	0
recursiveCaf	0	0
recursiveCaf	1	1
recursiveCaf	2	2
recursiveCaf	7	7
recursiveCaf	10	10
recursiveCaf	20	20
caseList	-3	0
caseList	0	0
caseList	1	1
caseList	2	3
caseList	7	28
caseList	10	55
caseList	20	210
multiModule	-3	26
multiModule	0	29
multiModule	1	30
multiModule	2	31
multiModule	7	36
multiModule	10	39
multiModule	20	49
cacheSaturation	-3	-2
cacheSaturation	0	1
cacheSaturation	1	3
cacheSaturation	2	5
cacheSaturation	7	11
cacheSaturation	10	15
cacheSaturation	20	25
mutualTail	-3	0
mutualTail	0	0
mutualTail	1	1
mutualTail	2	2
mutualTail	7	7
mutualTail	10	10
mutualTail	20	20
selfMutualTail	-3	0
selfMutualTail	0	0
selfMutualTail	1	1
selfMutualTail	2	2
selfMutualTail	7	7
selfMutualTail	10	10
selfMutualTail	20	20
