scalarControl	-9223372036854775808	-9223372036854775801
scalarControl	-4097	-12284
scalarControl	-1	4
scalarControl	0	7
scalarControl	1	10
scalarControl	4097	12298
scalarControl	3000000000	9000000007
scalarControl	9223372036854775807	-9223372036854775804
beforeCase	-9223372036854775808	-9223372036854775801
beforeCase	-4097	-12284
beforeCase	-1	4
beforeCase	0	7
beforeCase	1	10
beforeCase	4097	12298
beforeCase	3000000000	9000000007
beforeCase	9223372036854775807	-9223372036854775804
betweenCase	-9223372036854775808	1
betweenCase	-4097	-32775
betweenCase	-1	-7
betweenCase	0	1
betweenCase	1	9
betweenCase	4097	32777
betweenCase	3000000000	24000000001
betweenCase	9223372036854775807	-7
afterCase	-9223372036854775808	-21
afterCase	-4097	24561
afterCase	-1	-15
afterCase	0	-21
afterCase	1	-27
afterCase	4097	-24603
afterCase	3000000000	-18000000021
afterCase	9223372036854775807	-15
usedCase	-9223372036854775808	-9223372036854775789
usedCase	-4097	-4078
usedCase	-1	18
usedCase	0	19
usedCase	1	20
usedCase	4097	4116
usedCase	3000000000	3000000019
usedCase	9223372036854775807	-9223372036854775790
papEmptyCase	-9223372036854775808	-9223372036854775801
papEmptyCase	-4097	-12284
papEmptyCase	-1	4
papEmptyCase	0	7
papEmptyCase	1	10
papEmptyCase	4097	12298
papEmptyCase	3000000000	9000000007
papEmptyCase	9223372036854775807	-9223372036854775804
papTwoEmptyCase	-9223372036854775808	-9223372036854775779
papTwoEmptyCase	-4097	-4068
papTwoEmptyCase	-1	28
papTwoEmptyCase	0	29
papTwoEmptyCase	1	30
papTwoEmptyCase	4097	4126
papTwoEmptyCase	3000000000	3000000029
papTwoEmptyCase	9223372036854775807	-9223372036854775780
papMixedCase	-9223372036854775808	16
papMixedCase	-4097	-32760
papMixedCase	-1	8
papMixedCase	0	16
papMixedCase	1	24
papMixedCase	4097	32792
papMixedCase	3000000000	24000000016
papMixedCase	9223372036854775807	8
overCase	-9223372036854775808	7
overCase	-4097	-16381
overCase	-1	3
overCase	0	7
overCase	1	11
overCase	4097	16395
overCase	3000000000	12000000007
overCase	9223372036854775807	3
lazyCase	-9223372036854775808	-9223372036854775777
lazyCase	-4097	-4066
lazyCase	-1	30
lazyCase	0	31
lazyCase	1	32
lazyCase	4097	4128
lazyCase	3000000000	3000000031
lazyCase	9223372036854775807	-9223372036854775778
pairCase	-9223372036854775808	-46
pairCase	-4097	-32822
pairCase	-1	-54
pairCase	0	-46
pairCase	1	-38
pairCase	4097	32730
pairCase	3000000000	23999999954
pairCase	9223372036854775807	-54
selfCase	-9223372036854775808	-9223372036854775808
selfCase	-4097	-4004
selfCase	-1	92
selfCase	0	0
selfCase	1	4
selfCase	4097	4100
selfCase	3000000000	3000000000
selfCase	9223372036854775807	-9223372036854775716
mutualCase	-9223372036854775808	-9223372036854775801
mutualCase	-4097	-3979
mutualCase	-1	117
mutualCase	0	7
mutualCase	1	14
mutualCase	4097	4110
mutualCase	3000000000	3000000007
mutualCase	9223372036854775807	-9223372036854775691
selfDepth	0	5
selfDepth	1	8
selfDepth	20001	60008
mutualDepth	0	12
mutualDepth	1	18
mutualDepth	20001	70018
effectCase	0	7
effectCase	1	10
effectCase	4097	12298
effectCase	9223372036854775807	-9223372036854775804
effectPapCase	0	7
effectPapCase	1	10
effectPapCase	4097	12298
effectPapCase	9223372036854775807	-9223372036854775804
