plusCase	-33554435	-33554435	-33554435	-16777219	1275068672
plusCase	-33554435	-16777219	-16777216	-16777217	1677721776
plusCase	-33554435	-16777217	-2	-16777216	1342177332
plusCase	-33554435	-16777216	1	-16777215	-1342177444
plusCase	-33554435	-16777215	16777215	-3	-671088464
plusCase	-33554435	-3	16777219	-2	-201326764
plusCase	-33554435	-2	-16777219	-1	-201326732
plusCase	-33554435	-1	-16777215	0	201326524
plusCase	-33554435	0	-1	1	-939524300
plusCase	-33554435	1	2	2	-939524200
plusCase	-33554435	2	16777216	3	-201327100
plusCase	-33554435	3	33554435	16777215	-335544336
plusCase	-33554435	16777215	-16777217	16777216	1677721508
plusCase	-33554435	16777216	-3	16777217	1342177288
plusCase	-33554435	16777217	0	16777219	-1342177612
plusCase	-33554435	16777219	3	33554435	-2617245984
plusCase	-33554435	33554435	16777217	-33554435	3690987984
plusCase	-16777219	-33554435	-16777219	-16777215	872415096
plusCase	-16777219	-16777219	-16777215	-3	67108816
plusCase	-16777219	-16777217	-1	-2	-939524096
plusCase	-16777219	-16777216	2	-1	939523872
plusCase	-16777219	-16777215	16777216	0	67108748
plusCase	-16777219	-3	33554435	1	1946157152
plusCase	-16777219	-2	-16777217	2	-805306180
plusCase	-16777219	-1	-3	3	469762328
plusCase	-16777219	0	0	16777215	-1476395128
plusCase	-16777219	1	3	16777216	-1476395240
plusCase	-16777219	2	16777217	16777217	-1811939564
plusCase	-16777219	3	-33554435	16777219	805306624
plusCase	-16777219	16777215	-16777216	33554435	2348809908
plusCase	-16777219	16777216	-2	-33554435	-3087008084
plusCase	-16777219	16777217	1	-16777219	1946157320
plusCase	-16777219	16777219	16777215	-16777217	1207959396
plusCase	-16777219	33554435	16777219	-16777216	872415156
plusCase	-16777217	-33554435	-16777217	-1	-1879048328
plusCase	-16777217	-16777219	-3	0	-939523952
plusCase	-16777217	-16777217	0	1	805306508
plusCase	-16777217	-16777216	3	2	805306412
plusCase	-16777217	-16777215	16777217	3	67109204
plusCase	-16777217	-3	-33554435	16777215	-939523964
plusCase	-16777217	-2	-16777216	16777216	-1811939332
plusCase	-16777217	-1	-2	16777217	1610612688
plusCase	-16777217	0	1	16777219	-1610612408
plusCase	-16777217	1	16777215	33554435	-2818571948
plusCase	-16777217	2	16777219	-33554435	2818571960
plusCase	-16777217	3	-16777219	-16777219	-1811938964
plusCase	-16777217	16777215	-16777215	-16777217	-1207959504
plusCase	-16777217	16777216	-1	-16777216	1946157144
plusCase	-16777217	16777217	2	-16777215	1946157064
plusCase	-16777217	16777219	16777216	-3	67108820
plusCase	-16777217	33554435	33554435	-2	738197440
plusCase	-16777216	-33554435	-16777216	2	-1879048268
plusCase	-16777216	-16777219	-2	3	-939523696
plusCase	-16777216	-16777217	1	16777215	1946157144
plusCase	-16777216	-16777216	16777215	16777216	1073741872
plusCase	-16777216	-16777215	16777219	16777217	1073741972
plusCase	-16777216	-3	-16777219	16777219	-1811938924
plusCase	-16777216	-2	-16777215	33554435	-2684354896
plusCase	-16777216	-1	-1	-33554435	2483027692
plusCase	-16777216	0	2	-16777219	1610612316
plusCase	-16777216	1	16777216	-16777217	1811939328
plusCase	-16777216	2	33554435	-16777216	805306380
plusCase	-16777216	3	-16777217	-16777215	-1811939312
plusCase	-16777216	16777215	-3	-3	-939523844
plusCase	-16777216	16777216	0	-2	939523988
plusCase	-16777216	16777217	3	-1	-939523892
plusCase	-16777216	16777219	16777217	0	-67108632
plusCase	-16777216	33554435	-33554435	1	738197268
plusCase	-16777215	-33554435	-16777215	16777216	-872415488
plusCase	-16777215	-16777219	-1	16777217	1946156904
plusCase	-16777215	-16777217	2	16777219	1946157464
plusCase	-16777215	-16777216	16777216	33554435	2348810500
plusCase	-16777215	-16777215	33554435	-33554435	-3489661376
plusCase	-16777215	-3	-16777217	-16777219	1811939668
plusCase	-16777215	-2	-3	-16777217	1476395056
plusCase	-16777215	-1	0	-16777216	1476395080
plusCase	-16777215	0	3	-16777215	1476395084
plusCase	-16777215	1	16777217	-3	805306136
plusCase	-16777215	2	-33554435	-2	-1946157008
plusCase	-16777215	3	-16777216	-1	671088828
