forwardCase	-9223372036854775808	9223372036854775806
forwardCase	-4097	-4099
forwardCase	-7	-9
forwardCase	-3	-5
forwardCase	-1	8
forwardCase	0	9
forwardCase	1	10
forwardCase	7	16
forwardCase	4097	4106
forwardCase	9223372036854775807	9223372036854775805
outstandingCase	-9223372036854775808	31
outstandingCase	-4097	-40939
outstandingCase	-7	-39
outstandingCase	-3	16
outstandingCase	-1	49
outstandingCase	0	65
outstandingCase	1	81
outstandingCase	7	177
outstandingCase	4097	65617
outstandingCase	9223372036854775807	21
pairedCase	-9223372036854775808	14
pairedCase	-4097	-40956
pairedCase	-7	-56
pairedCase	-3	-16
pairedCase	-1	4
pairedCase	0	14
pairedCase	1	24
pairedCase	7	84
pairedCase	4097	40984
pairedCase	9223372036854775807	11
lazyLeafCase	-9223372036854775808	17
lazyLeafCase	-4097	17
lazyLeafCase	-7	17
lazyLeafCase	-3	17
lazyLeafCase	-1	17
lazyLeafCase	0	9
lazyLeafCase	1	10
lazyLeafCase	7	16
lazyLeafCase	4097	4106
lazyLeafCase	9223372036854775807	-9223372036854775800
mixedCase	-9223372036854775808	-9223372036854775806
mixedCase	-4097	-4095
mixedCase	-7	-5
mixedCase	-3	-1
mixedCase	-1	1
mixedCase	0	3
mixedCase	1	4
mixedCase	7	10
mixedCase	4097	4100
mixedCase	9223372036854775807	-9223372036854775806
singletonBoxCase	-9223372036854775808	29
singletonBoxCase	-4097	29
singletonBoxCase	-7	29
singletonBoxCase	-3	29
singletonBoxCase	-1	29
singletonBoxCase	0	31
singletonBoxCase	1	32
singletonBoxCase	7	38
singletonBoxCase	4097	4128
singletonBoxCase	9223372036854775807	-9223372036854775778
selfCase	-9223372036854775808	-9223372036854775803
selfCase	-4097	-4092
selfCase	-7	-2
selfCase	-3	3
selfCase	-1	5
selfCase	0	6
selfCase	1	7
selfCase	7	13
selfCase	4097	4103
selfCase	9223372036854775807	-9223372036854775804
mutualCase	-9223372036854775808	-9223372036854775804
mutualCase	-4097	-4093
mutualCase	-7	-3
mutualCase	-3	2
mutualCase	-1	4
mutualCase	0	5
mutualCase	1	6
mutualCase	7	12
mutualCase	4097	4102
mutualCase	9223372036854775807	-9223372036854775805
effectStateCase	-9223372036854775808	throws
effectStateCase	-4097	throws
effectStateCase	-7	throws
effectStateCase	-3	throws
effectStateCase	-1	throws
effectStateCase	0	21
effectStateCase	1	22
effectStateCase	7	28
effectStateCase	4097	4118
effectStateCase	9223372036854775807	-9223372036854775788
effectEmptyCase	-9223372036854775808	throws
effectEmptyCase	-4097	throws
effectEmptyCase	-7	throws
effectEmptyCase	-3	throws
effectEmptyCase	-1	throws
effectEmptyCase	0	23
effectEmptyCase	1	24
effectEmptyCase	7	30
effectEmptyCase	4097	4120
effectEmptyCase	9223372036854775807	-9223372036854775786
throwCase	-9223372036854775808	throws
throwCase	-4097	throws
throwCase	-7	throws
throwCase	-3	throws
throwCase	-1	throws
throwCase	0	1
throwCase	1	2
throwCase	7	8
throwCase	4097	4098
throwCase	9223372036854775807	-9223372036854775808
