plusCase	-9223372036854775808	-32768	196215
plusCase	-9223372036854775808	-512	-235913
plusCase	-81985529216486895	-513	1669489
plusCase	-81985529216486895	16	667645
plusCase	-65537	-15	-7907
plusCase	-65537	32769	196061
plusCase	-65536	-128	-59273
plusCase	-65536	9	3747
plusCase	-32769	64	-3182831
plusCase	-32769	512	-2976751
plusCase	-32768	-9223372036854775808	196215
plusCase	-32768	-32768	-393
plusCase	-32768	-32767	67
plusCase	-32768	-257	3092651
plusCase	-32768	-1	195755
plusCase	-32768	0	196215
plusCase	-32768	1	-655293
plusCase	-32768	257	-3093437
plusCase	-32768	32766	-1313
plusCase	-32768	32767	-853
plusCase	-32767	-32768	221
plusCase	-32767	-32767	681
plusCase	-32767	-16384	1376477
plusCase	-32767	-257	3093265
plusCase	-32767	-32	3196765
plusCase	-32767	-1	196369
plusCase	-32767	0	-655139
plusCase	-32767	1	-654679
plusCase	-32767	257	-3092823
plusCase	-32767	32766	-699
plusCase	-32767	32767	-239
plusCase	-16385	-257	-741819
plusCase	-16385	256	-505839
plusCase	-16384	-32767	622659
plusCase	-16384	-7	-626205
plusCase	-16383	-8	-626051
plusCase	-16383	17	-614551
plusCase	-8193	1024	-824303
plusCase	-8192	-8191	114755
plusCase	-8192	32769	1916995
plusCase	-8191	-8192	114909
plusCase	-8191	-1	-1294575
plusCase	-4097	-129	-347067
plusCase	-4097	4096	351249
plusCase	-4096	-2047	16451
plusCase	-4096	-3	-288493
plusCase	-4095	5	-284199
plusCase	-4095	33	-271319
plusCase	-2049	2048	-316399
plusCase	-2049	16384	117777
plusCase	-2048	-511	14403
plusCase	-2048	65537	249923
plusCase	-2047	-4096	-388899
plusCase	-2047	17	257897
plusCase	-1025	-65	-659643
plusCase	-1025	65535	-630203
plusCase	-1024	-127	-687549
plusCase	-1024	0	-629129
plusCase	-1023	65	-598615
plusCase	-513	-81985529216486895	-121187
plusCase	-513	4096	323601
plusCase	-512	-9223372036854775808	-314761
plusCase	-512	-31	-329021
plusCase	-511	-2048	-1256227
plusCase	-511	257	-195927
plusCase	-257	-32768	3053073
plusCase	-257	-32767	3053533
plusCase	-257	-16385	-1534907
plusCase	-257	-257	-276411
plusCase	-257	-33	-173371
plusCase	-257	-1	-158651
plusCase	-257	0	-158191
plusCase	-257	1	-157731
plusCase	-257	257	-39971
plusCase	-257	32766	3052153
plusCase	-257	32767	3052613
plusCase	-256	-7	-160797
plusCase	-256	3	-156197
plusCase	-255	129	-97623
plusCase	-255	1025	314537
plusCase	-129	-4097	-719035
plusCase	-129	8192	-767727
plusCase	-128	-65536	-78985
plusCase	-128	0	-78985
plusCase	-127	-1024	-549411
plusCase	-127	4097	561065
plusCase	-65	-1025	-511803
plusCase	-65	-17	-48123
plusCase	-64	7	-36469
plusCase	-63	257	79145
plusCase	-63	16385	1337641
plusCase	-33	-257	-138875
plusCase	-33	16384	1355601
plusCase	-32	-32767	3191683
plusCase	-32	31	-5781
plusCase	-31	-512	-254947
plusCase	-31	65536	-19427
plusCase	-17	-65	-40731
plusCase	-17	-9	-14971
plusCase	-16	15	-3317
plusCase	-16	127	48203
plusCase	-15	-65537	-10063
plusCase	-15	513	226377
plusCase	-9	-17	-13739
plusCase	-9	32767	3204885
plusCase	-8	-16383	-1381101
plusCase	-8	511	229755
plusCase	-7	-16384	-1380947
plusCase	-7	-256	-122451
plusCase	-5	-5	-5763
plusCase	-4	31	11411
plusCase	-4	2047	938771
plusCase	-3	-4096	-641211
plusCase	-3	1025	469265
plusCase	-2	1	-1161
plusCase	-2	65535	-2081
plusCase	-1	-32768	195601
plusCase	-1	-32767	196061
plusCase	-1	-8191	687581
plusCase	-1	-257	-119227
plusCase	-1	-1	-1467
plusCase	-1	0	-1007
plusCase	-1	1	-547
plusCase	-1	257	117213
plusCase	-1	8191	-689595
plusCase	-1	32766	3209337
plusCase	-1	32767	1309253
plusCase	0	-32768	196215
plusCase	0	-32767	-655293
plusCase	0	-1024	-471433
plusCase	0	-257	-118613
plusCase	0	-128	-59273
plusCase	0	-1	-853
plusCase	0	0	-393
plusCase	0	1	67
plusCase	0	257	117827
plusCase	0	32766	1309407
plusCase	0	32767	195755
plusCase	1	-32768	-655139
plusCase	1	-32767	-654679
plusCase	1	-257	-117999
plusCase	1	-2	-699
plusCase	1	-1	-239
plusCase	1	0	221
plusCase	1	1	681
plusCase	1	8	3901
plusCase	1	257	118441
plusCase	1	32766	195909
plusCase	1	32767	196369
plusCase	2	63	29815
plusCase	2	32766	-524373
plusCase	3	-256	-116311
plusCase	3	2049	943989
plusCase	4	32	16783
plusCase	4	81985529216486895	-192125
plusCase	5	-4095	-635839
plusCase	5	65537	3137
plusCase	7	-64	-25535
plusCase	8	1	4979
plusCase	8	128	63399
plusCase	9	-65536	5133
plusCase	9	127	63553
plusCase	15	-16	1457
plusCase	15	4097	648253
plusCase	16	-81985529216486895	203619
plusCase	16	512	244951
plusCase	17	-16383	-1365751
plusCase	17	-2047	-931575
plusCase	31	-32	3921
plusCase	31	-4	16801
plusCase	32	4	21095
plusCase	32	2048	961335
plusCase	33	-4095	-618647
plusCase	33	255	137169
plusCase	63	2	39209
plusCase	63	8193	-649379
